"sobre",29025656
"entre",24909463
"desde",21273450
"puede",19676809
"tiene",18854808
"hasta",18085874
"todos",18070713
"parte",17967233
"donde",17205529
"hacer",13723357
"mismo",13290917
"forma",13112986
"otros",12744659
"tanto",12111001
"mejor",10920692
"menos",10332800
"mucho",10239064
"estos",10114702
"lugar",9989882
"mundo",9936926
"tener",9710311
"mayor",8825510
"hecho",8785878
"ahora",8750672
"nuevo",8712229
"antes",8527279
"otras",8420533
"todas",8411508
"ellos",8137212
"poder",7960898
"quien",7947908
"decir",7457693
"estas",7443549
"hacia",6440298
"cosas",6298555
"medio",6187035
"misma",6143528
"estar",6124764
"nivel",6103683
"grupo",6090404
"nueva",6085185
"gente",5805897
"veces",5646278
"luego",5643513
"datos",5613110
"final",5552437
"horas",5539986
"punto",5370067
"haber",4998521
"meses",4754547
"fuera",4654356
"buena",4503010
"nunca",4441502
"tengo",4411240
"junto",4328769
"trata",4178045
"total",4170443
"hemos",4138820
"juego",4135374
"casos",4100683
"falta",4060640
"igual",4022820
"salud",3877445
"saber",3867509
"largo",3845095
"dicho",3776462
"euros",3684834
"valor",3656586
"serie",3614322
"mujer",3542061
"deben",3479498
"libro",3453170
"claro",3383047
"fecha",3317866
"hacen",3192035
"cinco",3164628
"estoy",3130810
"ayuda",3117562
"noche",3106392
"tarde",3096104
"pueda",3092757
"favor",3081310
"ellas",3032171
"pesar",3022631
"apoyo",3016633
"siglo",2999714
"cerca",2940304
"bueno",2937136
"obras",2888178
"sigue",2852322
"local",2851896
"cargo",2821092
"vista",2795586
"nadie",2793596
"resto",2767933
"usted",2736941
"poner",2699848
"ambos",2684487
"campo",2682373
"color",2676570
"libre",2636658
"pasar",2619616
"enero",2575218
"papel",2570257
"orden",2565328
"visto",2551322
"crear",2538033
"marca",2526388
"temas",2525417
"marzo",2517104
"tomar",2512749
"manos",2479483
"menor",2474030
"lleva",2473409
"viene",2462723
"dejar",2455542
"hijos",2431537
"vamos",2417886
"calle",2416678
"junio",2399540
"venta",2393435
"queda",2366353
"causa",2338273
"madre",2316736
"sitio",2305698
"julio",2301251
"abril",2278897
"clase",2264289
"padre",2253409
"puedo",2250596
"mucha",2249421
"plazo",2244777
"media",2197117
"gusta",2194665
"joven",2184934
"curso",2167681
"salir",2128410
"busca",2093544
"zonas",2053289
"lista",1998950
"fondo",1993690
"texto",1984719
"tenga",1981447
"marco",1975537
"dicha",1948584
"lucha",1938727
"redes",1931908
"autor",1896607
"ideas",1889547
"viaje",1824939
"vivir",1808295
"llega",1807939
"pesos",1790173
"aquel",1775777
"fotos",1771278
"somos",1760541
"suelo",1740482
"pocos",1735515
"tipos",1677546
"tales",1645138
"clave",1623139
"grado",1576887
"jugar",1564437
"pagar",1557964
"mitad",1538997
"etapa",1528592
"dolor",1519820
"capaz",1496222
"amigo",1489653
"doble",1470932
"banda",1451508
"habla",1447583
"dicen",1432938
"lunes",1424645
"ganar",1424273
"norte",1415086
"coche",1412359
"legal",1388578
"carga",1376911
"siete",1375323
"ambas",1363983
"miedo",1342901
"llama",1338137
"dando",1331183
"motor",1311079
"civil",1306068
"miles",1297951
"disco",1289848
"lejos",1283091
"ideal",1269915
"negro",1269623
"firma",1264369
"error",1262431
"hotel",1253884
"actos",1232537
"darle",1220530
"dudas",1219046
"fines",1213285
"leyes",1199985
"justo",1174727
"labor",1174265
"video",1172609
"mente",1167946
"tarea",1167291
"gusto",1143096
"carta",1139028
"armas",1138195
"plaza",1131451
"sacar",1130017
"fuego",1118477
"torno",1110442
"comer",1101951
"suele",1100185
"casas",1097346
"hayan",1089990
"larga",1086468
"pasos",1083558
"costo",1051430
"deuda",1046795
"aguas",1041999
"actor",1037513
"hogar",1027900
"ganas",1020127
"norma",1011405
"clara",1009982
"deseo",1005938
"abajo",995086
"sirve",989577
"abrir",981244
"ciclo",980687
"grave",971165
"corto",959768
"pocas",959734
"ritmo",947439
"saben",945813
"verde",944087
"bases",943140
"chica",941543
"carne",919490
"seres",919391
"pedir",914835
"radio",888221
"calor",882430
"votos",870892
"posee",865087
"acaba",860936
"penal",858909
"feliz",855341
"salvo",852919
"vemos",850392
"corte",849829
"playa",847809
"canal",842066
"golpe",835770
"altos",832417
"costa",824867
"banco",824598
"leche",815329
"plano",812782
"anual",807284
"pleno",806250
"gasto",798967
"cielo",798473
"nueve",791044
"moral",787518
"viven",781438
"debes",762634
"cifra",742657
"sabes",738688
"breve",728267
"seria",727424
"altas",713530
"lleno",709163
"culpa",701792
"chico",700183
"clima",695519
"serio",694817
"vidas",693087
"plena",691686
"subir",691476
"dieta",687170
"coste",683719
"honor",681412
"mando",679740
"trato",676454
"viejo",671746
"pista",668959
"perro",666026
"tanta",664196
"plata",662395
"estan",659710
"pieza",658987
"frase",657557
"creer",655813
"tabla",652618
"hagan",651325
"sabor",643864
"ponen",638645
"turno",633658
"llena",631278
"fallo",629195
"dejan",626458
"bajar",625720
"autos",624751
"mirar",623639
"pasan",619850
"rural",617611
"cuyos",614258
"ocupa",609192
"desea",605219
"copia",602022
"entra",598418
"toque",592232
"dosis",591053
"rival",588491
"exige",588394
"tenia",582849
"renta",580425
"firme",579577
"vuelo",576368
"venir",575845
"hojas",570483
"virus",570414
"tesis",568801
"notas",567886
"quede",566117
"solar",564269
"logra",561425
"humor",558822
"darse",558150
"bajas",555529
"creen",554536
"pobre",552983
"pagos",546824
"modos",542421
"fuese",537717
"bolsa",537439
"pared",536654
"bajos",532898
"goles",532645
"letra",524573
"rango",519989
"arena",517432
"vital",514320
"techo",512037
"corta",511866
"regla",510394
"flujo",510369
"amiga",507399
"ruido",507344
"luces",506130
"tocar",505745
"salen",505466
"suave",502291
"punta",500178
"tasas",498560
"extra",495255
"hecha",494203
"juega",491416
"morir",488154
"monto",482793
"negra",477690
"malos",477049
"pecho",476959
"usado",476451
"dulce",474451
"surge",471940
"rutas",471655
"verse",469756
"llevo",469290
"voces",466895
"ancho",463403
"lados",462329
"listo",458684
"cuota",456203
"vinos",455828
"rueda",455324
"brazo",455163
"metro",454516
"aviso",453993
"tramo",452140
"fruto",451542
"feria",451031
"quiso",449606
"haces",448001
"museo",447797
"habia",446980
"barco",444192
"cuyas",443214
"poeta",442161
"polvo",441059
"plato",439949
"grasa",435919
"rumbo",434920
"paseo",434887
"dices",432893
"dedos",431864
"cable",431094
"novia",427787
"retos",426729
"cinta",425682
"ronda",425594
"deber",425387
"salas",424560
"basta",423683
"prima",421844
"islas",420331
"acero",420203
"verlo",417729
"socio",415434
"patio",411351
"matar",410377
"oeste",410194
"temor",408954
"pesca",408140
"magia",407489
"votar",407278
"barra",407211
"mesas",406014
"metal",405569
"algun",404628
"malas",403326
"metas",402154
"cajas",400224
"trama",398483
"ricos",397069
"medir",396551
"salto",394615
"logro",393839
"vende",392144
"audio",389945
"kilos",388260
"sello",386452
"vayan",381502
"pisos",380052
"parar",379698
"vieja",378973
"toman",376536
"reino",376465
"artes",375362
"sufre",368322
"abuso",368253
"masas",367756
"sumar",367232
"reloj",365694
"guste",363319
"bomba",363043
"baile",359468
"pelea",359040
"damos",356660
"vigor",355480
"nieve",350527
"chino",350399
"pacto",350147
"caras",349524
"super",348902
"gesto",348399
"fibra",346718
"borde",346331
"traer",345004
"reina",343897
"fases",343719
"pongo",341770
"placa",340830
"finca",339677
"quedo",339483
"hielo",338963
"crema",338272
"mueve",337939
"vivos",337828
"andar",336852
"acaso",336702
"silla",336656
"salga",335618
"arroz",334374
"piden",332319
"email",332147
"suena",331144
"signo",330852
"banca",330132
"valle",327604
"torre",327383
"lanza",327177
"droga",326921
"casco",325349
"meter",323430
"crece",322087
"echar",319850
"panel",317599
"horno",314560
"lento",313809
"duelo",312807
"apoya",312412
"citas",310946
"suman",310846
"bordo",310402
"pasta",309774
"lleve",307513
"jefes",307227
"fruta",305155
"junta",303953
"trate",303739
"crean",303607
"novio",302620
"villa",300160
"parto",299796
"ponga",299793
"falso",299733
"culto",299021
"traje",298170
"foros",297261
"china",296835
"optar",295314
"justa",295139
"danza",293168
"peces",292352
"corre",291990
"cobro",291772
"mover",291525
"queso",291280
"filas",287010
"ficha",286284
"debut",285585
"ramas",284746
"ubica",284553
"capas",284178
"crees",283583
"solos",283508
"unido",280784
"notar",280715
"carro",280318
"falla",279330
"acabo",277902
"rayos",277775
"obvio",277121
"cobre",276410
"talla",275904
"gases",275749
"coger",275201
"multa",273315
"hijas",270407
"cuero",269867
"cubre",268723
"tirar",268716
"tonos",267837
"calma",267266
"bonos",267010
"pagan",265761
"falsa",264457
"venga",264265
"queja",263363
"penas",262901
"manga",262531
"sigan",261145
"llave",260797
"bella",260642
"salsa",257993
"canto",257967
"mapas",257428
"opera",256702
"verla",254493
"sexto",253781
"drama",253053
"llego",252738
"poema",251611
"rodea",251207
"cruce",251061
"nariz",250397
"hablo",250284
"lindo",249923
"beber",249637
"rigor",247631
"huevo",247228
"hayas",246717
"niega",246701
"saldo",246671
"asume",246092
"flota",245556
"fijar",245337
"santo",244644
"curva",244204
"becas",243291
"pares",243197
"vimos",242585
"aulas",242082
"demas",241228
"quita",240630
"digno",240627
"muros",240358
"llamo",240097
"negar",239465
"rubro",239331
"gatos",238912
"evita",238491
"monte",237501
"lucro",237481
"volar",237377
"suyos",235759
"hueco",233347
"razas",231245
"riego",230652
"cobra",230473
"busco",229292
"duros",229266
"bares",228917
"dejen",228878
"tenis",228845
"daban",228602
"hagas",228551
"trigo",227901
"pollo",226863
"serlo",226238
"halla",225252
"linea",224389
"genes",222083
"sirva",221465
"grito",221014
"fauna",220411
"vapor",219977
"manda",219603
"motos",219517
"censo",218230
"piano",217586
"buque",217344
"ducha",216312
"nacer",215477
"ayude",214475
"rojos",214403
"citar",214354
"muere",214335
"lazos",214301
"bolas",213922
"acoso",213655
"digna",212704
"patas",212208
"pinta",211737
"blogs",211015
"gafas",210962
"reyes",210319
"lenta",210267
"besos",210246
"natal",209146
"recta",207376
"crudo",206624
"nubes",205620
"rocas",204959
"duras",204809
"digan",204244
"santa",203081
"unico",201477
"click",200443
"ajeno",200385
"darte",199306
"naves",199149
"trajo",199032
"sobra",198036
"folio",197431
"linda",197359
"sabia",196661
"hueso",196490
"noble",194827
"facil",193164
"bodas",192539
"ajena",192242
"presa",191921
"usada",191857
"minas",191748
"filme",191524
"camas",190849
"broma",190808
"sexta",190144
"abren",189823
"diera",189460
"bello",189193
"tomas",188918
"grano",187472
"elige",187470
"almas",187379
"desee",187350
"rompe",185802
"roles",185461
"toros",184668
"dados",181721
"funda",181486
"duele",180311
"oliva",180063
"micro",180008
"aroma",179599
"fumar",179322
"vasos",179282
"ondas",177372
"risas",176930
"segun",176728
"joyas",173660
"tiros",173637
"ganan",173367
"rusos",172623
"darme",172406
"trece",171574
"freno",171035
"tenor",170890
"emite",170554
"robar",170378
"selva",168880
"anexo",168619
"fijos",168590
"plana",167310
"flora",167192
"podio",166819
"armar",166546
"mitos",165739
"dejes",164765
"tomen",163108
"dadas",163041
"rabia",162972
"barro",162817
"acoge",162513
"botas",162362
"aldea",161239
"rojas",160924
"miras",160589
"secos",159771
"sedes",159649
"sepan",159279
"tumba",158861
"aires",158672
"vasco",157466
"saque",156916
"robot",156675
"icono",156606
"urnas",156233
"genio",156033
"trono",155990
"rollo",155834
"tinta",155646
"pones",155409
"yendo",154921
"stock",154790
"lapso",154760
"aguda",154624
"solas",154502
"viaja",153482
"narra",152843
"actas",152695
"porno",152489
"ancha",151478
"pasen",150762
"traen",150281
"renal",149467
"pilas",148656
"acusa",148486
"males",148442
"prisa",148297
"hable",148162
"vayas",148138
"tacto",147613
"acabe",147546
"stand",146636
"locos",146573
"cerro",145989
"cruel",145221
"orina",144109
"cerdo",144107
"girar",143764
"velas",143138
"rubia",143077
"curar",142781
"tumor",142228
"mutuo",142226
"lotes",142192
"robos",142057
"gotas",141698
"macho",141615
"eleva",141547
"ceder",141344
"fatal",141158
"pulso",140231
"pases",139999
"basan",139895
"hilos",139801
"dotar",139799
"sonar",139773
"preso",139703
"vengo",139696
"vocal",139460
"canon",138806
"primo",138535
"entes",138343
"valer",138046
"cenar",137819
"anime",137698
"truco",137003
"resta",136978
"rosas",136881
"razon",136652
"caros",136559
"palos",136027
"logre",135921
"tubos",135760
"cueva",135250
"sanos",135106
"ricas",134904
"pymes",134797
"senda",134762
"copas",134689
"flash",133969
"llame",133877
"sacan",133461
"tonto",132834
"abono",132595
"opina",132494
"gripe",132129
"aprox",132043
"leido",131761
"altar",131716
"vacas",131423
"tapas",130978
"rubio",130337
"lucir",130214
"quise",129607
"nacen",129553
"raras",129524
"tarda",128785
"durar",128711
"pozos",128436
"lavar",128378
"unida",128326
"palma",128222
"sutil",127346
"quema",127189
"plomo",127068
"anima",126648
"acude",126404
"alias",126149
"bruto",125032
"atrae",124999
"ciego",124341
"trozo",124340
"amado",124318
"suyas",123808
"racha",123388
"globo",123130
"litro",123044
"gozar",122638
"rugby",122619
"tenes",122609
"guapa",122092
"conde",122003
"pelos",121743
"secas",120758
"sales",120343
"circo",120128
"pegar",119966
"bando",119822
"canta",119561
"pilar",119554
"celda",119521
"podia",119496
"bolso",118453
"focos",118153
"tango",118083
"cauce",117878
"valen",117363
"oreja",117030
"pausa",116515
"chile",116393
"leves",116161
"rodar",115602
"vicio",115580
"vivas",115505
"miran",115123
"caiga",115076
"fijas",114705
"alude",114376
"suben",114151
"velar",113636
"fuere",113558
"movil",113427
"sumas",113381
"dimos",113295
"animo",113285
"suite",113111
"molde",113072
"rigen",112781
"entro",112701
"arcos",112671
"fojas",112284
"deban",112159
"dudes",112096
"viuda",111744
"viste",111726
"usaba",111592
"pague",111517
"mixta",111310
"caldo",111073
"pluma",111021
"comen",109979
"andan",109713
"sodio",109653
"rasgo",109566
"papas",109348
"viral",108645
"nazis",108534
"ataca",108269
"damas",107993
"sabio",107891
"mutua",107721
"salio",107363
"cines",107319
"agudo",107035
"asilo",106976
"alega",106574
"indio",106463
"cacao",105916
"belga",105796
"lagos",105649
"recto",105588
"verbo",105223
"telas",105105
"balas",104712
"veras",104319
"sudor",103683
"naval",103593
"tribu",103551
"cruza",103498
"digas",103443
"dudar",103152
"mixto",102747
"turco",102423
"jueza",102276
"ojala",102146
"sexos",101688
"opone",101112
"ropas",101028
"celos",100639
"lente",100461
"rumor",99858
"rinde",99811
"verso",99696
"gordo",99361
"verte",99095
"aleja",99060
"malla",98746
"sucio",98609
"nieto",98599
"salta",98263
"vejez",98227
"tutor",98226
"guiar",98030
"dejas",97986
"soles",97918
"mares",97785
"colas",97694
"tiras",97632
"pauta",97621
"diosa",97144
"pasas",96789
"venas",96531
"salva",96212
"atras",96004
"aguja",95977
"himno",95796
"sucia",95204
"cuida",94970
"giros",94835
"manto",94014
"tocan",93765
"ratas",93627
"buses",93052
"bajan",92969
"sepas",92831
"fuero",92366
"finas",92258
"colmo",92200
"suizo",91959
"tarta",91866
"ruina",91787
"guion",91646
"dicta",91603
"ratos",91451
"creas",91224
"vasca",91119
"falda",90895
"taxis",90688
"gozan",90575
"picos",90388
"apego",90359
"faena",90133
"duque",89812
"algas",89636
"burla",89591
"unica",89530
"podes",89400
"gasta",89344
"ratio",89301
"monta",89198
"raros",88333
"prosa",88084
"ligas",87947
"nadar",87872
